 Spectrum , Sample , Throughput , Mg-Ka Area , Mg-Ka AreaStd , Al-Ka Area , Al-Ka AreaStd , Si-Ka Area , Si-Ka AreaStd , P -Ka Area , P -Ka AreaStd , S -Ka Area , S -Ka AreaStd , Cl-Ka Area , Cl-Ka AreaStd , Ar-Ka Area , Ar-Ka AreaStd , K -Ka Area , K -Ka AreaStd , Ca-Ka Area , Ca-Ka AreaStd , Ti-Ka Area , Ti-Ka AreaStd , Cr-Ka Area , Cr-Ka AreaStd , Mn-Ka Area , Mn-Ka AreaStd , Fe-Ka Area , Fe-Ka AreaStd , Rh-La-Coh Area , Rh-La-Coh AreaStd 
374-U1524A-1H-1-A_SHLF9353571 X 360.0mm   6s  10kV 160uA No-Filter DC10.0mm CC12.0mm Y  0.0mm Run1 Rep0 Sett Low.spe,360,1.74E+05,287,44,13262,130,124994,356,754,63,1548,88,38961,267,-4907,151,74936,306,24815,212,26326,216,1123,162,6821,193,274720,539,39979,198
374-U1524A-1H-1-A_SHLF9353571 X 380.0mm   6s  10kV 160uA No-Filter DC10.0mm CC12.0mm Y  0.0mm Run1 Rep0 Sett Low.spe,380,1.81E+05,301,46,14810,137,140203,378,656,64,1441,88,38132,326,-5129,176,79873,316,25645,217,27052,220,1210,165,7163,197,278599,552,40924,270
374-U1524A-1H-1-A_SHLF9353571 X 390.0mm   6s  10kV 160uA No-Filter DC10.0mm CC12.0mm Y  0.0mm Run1 Rep0 Sett Low.spe,390,1.66E+05,115,44,11190,122,109782,335,600,61,1891,90,44753,345,-4388,177,70427,300,23143,209,24970,211,1407,163,5887,190,255427,530,40405,276
374-U1524A-1H-1-A_SHLF9353571 X 400.0mm   6s  10kV 160uA No-Filter DC10.0mm CC12.0mm Y  0.0mm Run1 Rep0 Sett Low.spe,400,1.66E+05,212,44,12005,125,118153,347,609,61,2070,91,43763,340,-4671,175,71853,302,24796,213,24445,212,1159,161,7873,195,246809,522,40061,273
374-U1524A-1H-1-A_SHLF9353571 X 410.0mm   6s  10kV 160uA No-Filter DC10.0mm CC12.0mm Y  0.0mm Run1 Rep0 Sett Low.spe,410,1.83E+05,285,45,14057,133,125651,357,723,62,1746,90,43402,278,-4920,154,78076,311,22512,208,26676,219,1511,167,13306,214,292499,555,42181,203
374-U1524A-1H-1-A_SHLF9353571 X 420.0mm   6s  10kV 160uA No-Filter DC10.0mm CC12.0mm Y  0.0mm Run1 Rep0 Sett Low.spe,420,1.80E+05,368,45,14248,134,135528,371,730,64,1873,91,42760,276,-4866,154,78678,313,25467,216,26486,217,1250,166,9685,204,266340,533,41304,202
374-U1524A-1H-1-A_SHLF9353571 X 430.0mm   6s  10kV 160uA No-Filter DC10.0mm CC12.0mm Y  0.0mm Run1 Rep0 Sett Low.spe,430,1.70E+05,272,45,13101,130,134389,370,722,63,1999,92,45214,344,-5277,178,76523,312,28086,223,25215,215,937,164,5198,191,229935,510,41011,277
374-U1524A-1H-1-A_SHLF9353571 X 440.0mm   6s  10kV 160uA No-Filter DC10.0mm CC12.0mm Y  0.0mm Run1 Rep0 Sett Low.spe,440,1.65E+05,315,43,11005,120,133707,368,486,61,2023,92,46720,283,-5028,153,72235,303,27753,220,22915,206,832,162,7536,194,212584,483,40599,203
374-U1524A-1H-1-A_SHLF9353571 X 450.0mm   6s  10kV 160uA No-Filter DC10.0mm CC12.0mm Y  0.0mm Run1 Rep0 Sett Low.spe,450,1.64E+05,192,44,10737,120,137205,373,440,60,1939,90,44479,340,-4658,176,70606,302,26998,219,22268,209,1071,162,6977,192,213179,493,39709,272
374-U1524A-1H-1-A_SHLF9353571 X 460.0mm   6s  10kV 160uA No-Filter DC10.0mm CC12.0mm Y  0.0mm Run1 Rep0 Sett Low.spe,460,1.65E+05,299,43,11072,120,140993,377,554,61,1886,90,42261,272,-4842,150,71075,300,27632,219,22358,206,1245,161,4191,183,218036,488,39478,198
