 Spectrum , Sample , Throughput , Mg-Ka Area , Mg-Ka AreaStd , Al-Ka Area , Al-Ka AreaStd , Si-Ka Area , Si-Ka AreaStd , P -Ka Area , P -Ka AreaStd , S -Ka Area , S -Ka AreaStd , Cl-Ka Area , Cl-Ka AreaStd , Ar-Ka Area , Ar-Ka AreaStd , K -Ka Area , K -Ka AreaStd , Ca-Ka Area , Ca-Ka AreaStd , Ti-Ka Area , Ti-Ka AreaStd , Cr-Ka Area , Cr-Ka AreaStd , Mn-Ka Area , Mn-Ka AreaStd , Fe-Ka Area , Fe-Ka AreaStd , Rh-La-Coh Area , Rh-La-Coh AreaStd 
374-U1524A-1H-1-A_SHLF9353571 X1310.0mm   6s  10kV 160uA No-Filter DC10.0mm CC12.0mm Y  0.0mm Run1 Rep0 Sett Low.spe,1310,1.66E+05,194,39,7446,102,82662,292,314,58,3212,100,70595,419,-5304,188,64816,295,27079,222,23470,213,1013,165,4637,189,232559,512,45330,314
374-U1524A-1H-1-A_SHLF9353571 X1320.0mm   6s  10kV 160uA No-Filter DC10.0mm CC12.0mm Y  0.0mm Run1 Rep0 Sett Low.spe,1320,1.61E+05,138,39,6762,97,76256,280,380,57,3383,100,71611,329,-5104,160,62091,288,26664,220,23473,211,906,165,4618,188,219323,490,45147,219
374-U1524A-1H-1-A_SHLF9353571 X1330.0mm   6s  10kV 160uA No-Filter DC10.0mm CC12.0mm Y  0.0mm Run1 Rep0 Sett Low.spe,1330,1.59E+05,155,38,6399,95,69839,269,226,57,3305,101,71884,329,-5084,159,61142,285,24110,212,22676,208,810,164,7289,194,220057,490,44855,218
374-U1524A-1H-1-A_SHLF9353571 X1340.0mm   6s  10kV 160uA No-Filter DC10.0mm CC12.0mm Y  0.0mm Run1 Rep0 Sett Low.spe,1340,1.54E+05,151,38,5261,88,55401,241,154,55,3690,104,84810,464,-4927,193,49764,267,19820,203,20174,205,958,166,6923,195,209547,491,45632,336
374-U1524A-1H-1-A_SHLF9353571 X1350.0mm   6s  10kV 160uA No-Filter DC10.0mm CC12.0mm Y  0.0mm Run1 Rep0 Sett Low.spe,1350,1.57E+05,147,37,5072,86,55051,239,225,55,3669,103,81273,345,-5217,163,53505,272,20380,203,21267,205,1004,164,6341,192,225346,496,46131,224
374-U1524A-1H-1-A_SHLF9353571 X1360.0mm   6s  10kV 160uA No-Filter DC10.0mm CC12.0mm Y  0.0mm Run1 Rep0 Sett Low.spe,1360,1.48E+05,150,37,5534,89,61246,252,211,54,3450,99,72966,328,-4152,158,52234,267,21891,204,20422,201,806,160,3929,182,204543,474,42837,216
374-U1524A-1H-1-A_SHLF9353571 X1380.0mm   6s  10kV 160uA No-Filter DC10.0mm CC12.0mm Y  0.0mm Run1 Rep0 Sett Low.spe,1380,1.47E+05,163,36,6119,93,70033,268,206,55,3059,97,68666,321,-3919,159,54662,273,24582,211,20548,200,756,159,4767,182,192396,461,41552,213
374-U1524A-1H-1-A_SHLF9353571 X1400.0mm   6s  10kV 160uA No-Filter DC10.0mm CC12.0mm Y  0.0mm Run1 Rep0 Sett Low.spe,1400,1.45E+05,200,36,6052,91,70136,269,225,55,2663,96,62737,396,-2788,185,54075,272,25191,212,19407,197,1137,160,6681,188,192103,470,40739,297
374-U1524A-1H-2-A_SHLF9353601 X  50.0mm   6s  10kV 160uA No-Filter DC10.0mm CC12.0mm Y  0.0mm Run1 Rep0 Sett Low.spe,50,1.63E+05,214,41,10699,117,105551,328,588,59,2095,90,50545,289,-4663,154,67001,294,23271,210,23657,209,1070,162,13770,211,226013,496,41417,205
374-U1524A-1H-2-A_SHLF9353601 X  60.0mm   6s  10kV 160uA No-Filter DC10.0mm CC12.0mm Y  0.0mm Run1 Rep0 Sett Low.spe,60,1.69E+05,198,42,10291,117,106830,331,554,61,2207,95,55776,378,-5224,185,68449,300,24113,215,24174,215,1027,167,8710,202,237537,518,43708,295
374-U1524A-1H-2-A_SHLF9353601 X  80.0mm   6s  10kV 160uA No-Filter DC10.0mm CC12.0mm Y  0.0mm Run1 Rep0 Sett Low.spe,80,1.68E+05,302,44,11931,124,115687,343,649,60,1877,90,48372,286,-4673,155,70404,300,24088,212,24483,213,860,163,6495,192,240653,509,40953,204
374-U1524A-1H-2-A_SHLF9353601 X 110.0mm   6s  10kV 160uA No-Filter DC10.0mm CC12.0mm Y  0.0mm Run1 Rep0 Sett Low.spe,110,1.52E+05,221,39,10035,113,95949,312,621,58,2228,89,46739,279,-3806,151,62778,284,20964,199,22691,202,1172,158,13736,207,216220,484,38887,198
374-U1524A-1H-2-A_SHLF9353601 X 120.0mm   6s  10kV 160uA No-Filter DC10.0mm CC12.0mm Y  0.0mm Run1 Rep0 Sett Low.spe,120,1.64E+05,187,40,10136,115,100097,319,556,59,2285,92,51393,290,-4710,152,66772,292,21476,202,22730,206,903,160,33517,257,229925,501,40364,204
374-U1524A-1H-2-A_SHLF9353601 X 140.0mm   6s  10kV 160uA No-Filter DC10.0mm CC12.0mm Y  0.0mm Run1 Rep0 Sett Low.spe,140,1.68E+05,218,44,10456,118,114196,341,536,61,2034,92,49582,288,-4933,154,71005,301,26815,219,24007,211,654,162,15510,216,232766,502,41103,205
374-U1524A-1H-2-A_SHLF9353601 X 160.0mm   6s  10kV 160uA No-Filter DC10.0mm CC12.0mm Y  0.0mm Run1 Rep0 Sett Low.spe,160,1.65E+05,202,45,10957,121,117050,345,485,61,2175,92,47444,284,-4493,154,71852,301,27657,219,24370,210,1019,163,9663,200,228797,498,40890,203
374-U1524A-1H-2-A_SHLF9353601 X 180.0mm   6s  10kV 160uA No-Filter DC10.0mm CC12.0mm Y  0.0mm Run1 Rep0 Sett Low.spe,180,1.69E+05,337,43,12167,125,125761,357,650,62,1712,90,43221,275,-4718,151,73571,304,27842,219,25083,211,1278,162,17915,221,235418,505,39636,199
374-U1524A-1H-2-A_SHLF9353601 X 200.0mm   6s  10kV 160uA No-Filter DC10.0mm CC12.0mm Y  0.0mm Run1 Rep0 Sett Low.spe,200,1.66E+05,268,45,12417,127,130373,363,680,62,1411,86,36828,260,-3983,151,74529,304,26950,216,24362,209,1297,160,13834,209,231977,500,39461,195
374-U1524A-1H-2-A_SHLF9353601 X 220.0mm   6s  10kV 160uA No-Filter DC10.0mm CC12.0mm Y  0.0mm Run1 Rep0 Sett Low.spe,220,1.66E+05,189,43,11870,124,123710,354,593,61,1686,88,41916,272,-4212,152,72899,301,25031,212,23797,208,1137,161,10435,200,237430,505,40179,199
374-U1524A-1H-2-A_SHLF9353601 X 240.0mm   6s  10kV 160uA No-Filter DC10.0mm CC12.0mm Y  0.0mm Run1 Rep0 Sett Low.spe,240,1.73E+05,267,42,12957,128,129338,362,701,63,1714,88,41508,272,-5018,151,76105,308,26125,215,25330,214,1092,163,14767,215,248998,517,40810,200
374-U1524A-1H-2-A_SHLF9353601 X 260.0mm   6s  10kV 160uA No-Filter DC10.0mm CC12.0mm Y  0.0mm Run1 Rep0 Sett Low.spe,260,1.67E+05,247,42,13417,130,129273,362,700,62,1555,86,37353,261,-4353,150,73991,303,24094,210,25054,211,1501,160,8708,195,244013,511,38925,195
374-U1524A-1H-2-A_SHLF9353601 X 280.0mm   6s  10kV 160uA No-Filter DC10.0mm CC12.0mm Y  0.0mm Run1 Rep0 Sett Low.spe,280,1.71E+05,251,45,13684,132,132452,366,635,61,1580,86,37242,261,-4832,148,76881,308,23274,208,25985,214,1101,161,6517,191,257642,523,39296,195
374-U1524A-1H-2-A_SHLF9353601 X 300.0mm   6s  10kV 160uA No-Filter DC10.0mm CC12.0mm Y  0.0mm Run1 Rep0 Sett Low.spe,300,1.69E+05,214,45,13805,133,136300,372,711,63,1469,87,36633,320,-4615,173,77535,311,26558,217,25388,213,990,163,5640,189,242275,518,39644,265
374-U1524A-1H-2-A_SHLF9353601 X 320.0mm   6s  10kV 160uA No-Filter DC10.0mm CC12.0mm Y  0.0mm Run1 Rep0 Sett Low.spe,320,1.66E+05,324,45,14094,133,142688,380,603,63,1330,86,33934,254,-4732,148,77015,308,27440,217,24727,210,1106,159,7010,190,228094,496,38812,193
374-U1524A-1H-2-A_SHLF9353601 X 340.0mm   6s  10kV 160uA No-Filter DC10.0mm CC12.0mm Y  0.0mm Run1 Rep0 Sett Low.spe,340,1.70E+05,225,45,13928,133,136873,373,722,65,1170,85,34640,312,-4417,172,76605,310,25335,215,25764,214,1329,162,6743,192,250035,525,38363,260
374-U1524A-1H-2-A_SHLF9353601 X 360.0mm   6s  10kV 160uA No-Filter DC10.0mm CC12.0mm Y  0.0mm Run1 Rep0 Sett Low.spe,360,1.80E+05,252,47,15162,139,143398,381,626,63,1516,88,36261,261,-4735,150,81506,316,25378,215,27119,218,1162,165,12761,211,268286,534,40049,196
374-U1524A-1H-2-A_SHLF9353601 X 380.0mm   6s  10kV 160uA No-Filter DC10.0mm CC12.0mm Y  0.0mm Run1 Rep0 Sett Low.spe,380,1.78E+05,267,46,15560,140,143623,381,717,64,1467,87,36862,261,-4672,150,81722,316,24553,212,27584,218,1583,165,4609,188,270887,535,39462,195
374-U1524A-1H-2-A_SHLF9353601 X 400.0mm   6s  10kV 160uA No-Filter DC10.0mm CC12.0mm Y  0.0mm Run1 Rep0 Sett Low.spe,400,1.57E+05,294,44,13620,131,131732,365,701,62,1342,83,32072,247,-4226,146,72853,301,26752,215,24209,207,1210,156,9022,193,211622,479,37035,188
374-U1524A-1H-2-A_SHLF9353601 X 420.0mm   6s  10kV 160uA No-Filter DC10.0mm CC12.0mm Y  0.0mm Run1 Rep0 Sett Low.spe,420,1.65E+05,346,44,14446,134,137985,373,862,63,1600,86,35307,256,-4415,148,77463,309,26547,215,25292,212,1453,160,5185,184,230921,498,38450,192
374-U1524A-1H-2-A_SHLF9353601 X 440.0mm   6s  10kV 160uA No-Filter DC10.0mm CC12.0mm Y  0.0mm Run1 Rep0 Sett Low.spe,440,1.78E+05,253,44,14617,135,135013,370,783,64,1479,88,39164,267,-4832,150,80413,313,24161,211,27341,218,1575,164,13014,211,268203,534,40478,198
374-U1524A-1H-2-A_SHLF9353601 X 460.0mm   6s  10kV 160uA No-Filter DC10.0mm CC12.0mm Y  0.0mm Run1 Rep0 Sett Low.spe,460,1.78E+05,139,45,13586,133,130820,365,635,64,1558,89,41022,271,-5025,151,78089,310,23976,210,25707,215,1206,165,13068,213,273159,539,41423,200
374-U1524A-1H-2-A_SHLF9353601 X 470.0mm   6s  10kV 160uA No-Filter DC10.0mm CC12.0mm Y  0.0mm Run1 Rep0 Sett Low.spe,470,1.69E+05,246,42,12050,124,126345,359,538,61,1970,90,44557,343,-4566,177,74308,306,25661,215,23860,211,1027,163,10288,203,239934,517,40978,276
374-U1524A-1H-2-A_SHLF9353601 X 480.0mm   6s  10kV 160uA No-Filter DC10.0mm CC12.0mm Y  0.0mm Run1 Rep0 Sett Low.spe,480,1.60E+05,204,42,10628,118,133061,367,539,60,1745,87,42655,334,-4529,174,69200,297,27837,218,20723,202,842,161,8305,196,208742,488,39446,269
374-U1524A-1H-2-A_SHLF9353601 X 490.0mm   6s  10kV 160uA No-Filter DC10.0mm CC12.0mm Y  0.0mm Run1 Rep0 Sett Low.spe,490,1.55E+05,150,40,8383,107,135336,369,518,58,2123,90,49042,286,-4797,152,58978,279,23917,207,18581,195,970,159,6978,189,189611,459,40774,203
374-U1524A-1H-2-A_SHLF9353601 X 500.0mm   6s  10kV 160uA No-Filter DC10.0mm CC12.0mm Y  0.0mm Run1 Rep0 Sett Low.spe,500,1.39E+05,164,38,6555,96,100525,319,236,54,2160,90,49467,283,-3517,151,53010,266,24004,205,16535,185,799,153,3563,173,176076,441,37902,198
374-U1524A-1H-2-A_SHLF9353601 X 510.0mm   6s  10kV 160uA No-Filter DC10.0mm CC12.0mm Y  0.0mm Run1 Rep0 Sett Low.spe,510,1.44E+05,193,39,6631,97,108841,332,363,55,2327,90,52035,289,-4330,150,52356,266,23322,204,16617,188,404,156,8899,191,178056,445,39177,201
374-U1524A-1H-2-A_SHLF9353601 X 520.0mm   6s  10kV 160uA No-Filter DC10.0mm CC12.0mm Y  0.0mm Run1 Rep0 Sett Low.spe,520,1.53E+05,196,39,7467,102,132842,367,437,58,2283,91,50121,354,-4205,175,54995,272,22552,205,17774,196,820,162,9961,201,184278,465,40358,277
374-U1524A-1H-2-A_SHLF9353601 X 530.0mm   6s  10kV 160uA No-Filter DC10.0mm CC12.0mm Y  0.0mm Run1 Rep0 Sett Low.spe,530,1.55E+05,240,40,7287,100,128362,360,409,57,2454,92,53406,294,-4571,153,55295,273,22334,205,17508,194,669,161,8499,196,187700,459,40823,205
374-U1524A-1H-2-A_SHLF9353601 X 540.0mm   6s  10kV 160uA No-Filter DC10.0mm CC12.0mm Y  0.0mm Run1 Rep0 Sett Low.spe,540,1.54E+05,199,38,6509,96,118126,346,225,57,2560,95,58681,305,-5154,154,52528,268,21620,203,17007,193,824,162,9722,201,186294,458,43042,210
374-U1524A-1H-2-A_SHLF9353601 X 550.0mm   6s  10kV 160uA No-Filter DC10.0mm CC12.0mm Y  0.0mm Run1 Rep0 Sett Low.spe,550,1.60E+05,173,39,7281,100,123688,353,438,57,2457,93,54246,296,-4670,153,56766,276,22871,207,18023,196,977,164,17570,222,202023,474,41434,206
374-U1524A-1H-2-A_SHLF9353601 X 560.0mm   6s  10kV 160uA No-Filter DC10.0mm CC12.0mm Y  0.0mm Run1 Rep0 Sett Low.spe,560,1.57E+05,223,39,6360,95,114948,341,352,56,2764,95,59860,307,-5017,156,53713,271,22957,206,17559,195,857,164,12972,210,195134,467,42265,210
374-U1524A-1H-2-A_SHLF9353601 X 570.0mm   6s  10kV 160uA No-Filter DC10.0mm CC12.0mm Y  0.0mm Run1 Rep0 Sett Low.spe,570,1.58E+05,188,40,7042,100,130773,363,268,57,2263,93,53220,295,-4955,153,56120,274,23082,206,18101,196,1004,162,8658,198,195439,467,41696,206
374-U1524A-1H-2-A_SHLF9353601 X 580.0mm   6s  10kV 160uA No-Filter DC10.0mm CC12.0mm Y  0.0mm Run1 Rep0 Sett Low.spe,580,1.60E+05,151,40,7338,102,129416,362,428,58,2490,95,52188,363,-4709,179,58321,280,23670,209,19180,200,965,165,8277,199,201885,484,41345,284
374-U1524A-1H-2-A_SHLF9353601 X 600.0mm   6s  10kV 160uA No-Filter DC10.0mm CC12.0mm Y  0.0mm Run1 Rep0 Sett Low.spe,600,1.59E+05,225,41,7619,103,128516,361,467,60,2226,92,51752,362,-4686,179,58757,281,24826,212,18872,200,840,165,14249,215,198284,481,40848,283
374-U1524A-1H-2-A_SHLF9353601 X 620.0mm   6s  10kV 160uA No-Filter DC10.0mm CC12.0mm Y  0.0mm Run1 Rep0 Sett Low.spe,620,1.61E+05,242,42,9168,111,141681,378,466,59,1953,90,45072,277,-4744,151,62780,286,25887,213,19231,199,1103,162,5127,187,207627,478,39333,199
374-U1524A-1H-2-A_SHLF9353601 X 640.0mm   6s  10kV 160uA No-Filter DC10.0mm CC12.0mm Y  0.0mm Run1 Rep0 Sett Low.spe,640,1.60E+05,210,41,9201,111,138444,374,431,59,1951,89,46512,280,-4379,150,61576,283,25969,214,19041,198,1003,162,6953,190,206766,477,39492,199
374-U1524A-1H-2-A_SHLF9353601 X 660.0mm   6s  10kV 160uA No-Filter DC10.0mm CC12.0mm Y  0.0mm Run1 Rep0 Sett Low.spe,660,1.60E+05,236,42,9135,111,139321,375,453,60,1888,90,45253,277,-4353,150,62853,285,26041,213,19058,198,851,162,8104,195,204710,476,39224,198
374-U1524A-1H-2-A_SHLF9353601 X 680.0mm   6s  10kV 160uA No-Filter DC10.0mm CC12.0mm Y  0.0mm Run1 Rep0 Sett Low.spe,680,1.52E+05,188,39,8528,107,132157,365,399,58,1634,86,41200,267,-3523,149,58876,278,25105,211,18261,193,934,158,13156,205,189828,459,37246,194
374-U1524A-1H-2-A_SHLF9353601 X 700.0mm   6s  10kV 160uA No-Filter DC10.0mm CC12.0mm Y  0.0mm Run1 Rep0 Sett Low.spe,700,1.62E+05,287,42,9601,113,143568,381,457,59,1674,89,42394,332,-4328,174,61320,285,24849,213,18452,198,1036,163,25059,239,201037,484,38118,267
374-U1524A-1H-2-A_SHLF9353601 X 720.0mm   6s  10kV 160uA No-Filter DC10.0mm CC12.0mm Y  0.0mm Run1 Rep0 Sett Low.spe,720,1.63E+05,221,42,9374,112,138862,374,522,60,1913,89,45316,278,-4751,150,62301,285,25611,213,19757,199,910,163,17852,222,207477,480,39513,199
374-U1524A-1H-2-A_SHLF9353601 X 740.0mm   6s  10kV 160uA No-Filter DC10.0mm CC12.0mm Y  0.0mm Run1 Rep0 Sett Low.spe,740,1.51E+05,223,40,8133,105,121529,350,392,57,1686,86,43314,272,-3916,151,58083,277,25961,211,18633,193,1128,157,8847,192,199253,468,38813,197
374-U1524A-1H-2-A_SHLF9353601 X 760.0mm   6s  10kV 160uA No-Filter DC10.0mm CC12.0mm Y  0.0mm Run1 Rep0 Sett Low.spe,760,1.44E+05,137,40,8115,105,120011,348,427,56,1556,85,37117,257,-3436,147,56349,272,26923,212,17456,187,1100,153,7923,186,187894,454,36451,190
374-U1524A-1H-2-A_SHLF9353601 X 780.0mm   6s  10kV 160uA No-Filter DC10.0mm CC12.0mm Y  0.0mm Run1 Rep0 Sett Low.spe,780,1.50E+05,278,42,9095,110,134506,369,433,58,1531,84,36565,311,-3440,168,58597,278,25443,211,18111,193,1120,156,10890,198,194758,472,34968,253
374-U1524A-1H-2-A_SHLF9353601 X 800.0mm   6s  10kV 160uA No-Filter DC10.0mm CC12.0mm Y  0.0mm Run1 Rep0 Sett Low.spe,800,1.49E+05,233,40,8338,106,125715,356,379,56,1642,85,37925,258,-4076,145,58639,276,28157,216,18111,190,1009,156,15231,209,191003,459,35527,189
374-U1524A-1H-2-A_SHLF9353601 X 820.0mm   6s  10kV 160uA No-Filter DC10.0mm CC12.0mm Y  0.0mm Run1 Rep0 Sett Low.spe,820,1.56E+05,216,42,8591,108,136435,371,316,58,1610,87,41342,267,-3885,148,57837,274,22694,203,17487,191,886,161,21211,228,201464,472,37067,193
374-U1524A-1H-2-A_SHLF9353601 X 840.0mm   6s  10kV 160uA No-Filter DC10.0mm CC12.0mm Y  0.0mm Run1 Rep0 Sett Low.spe,840,1.60E+05,278,42,9195,111,139911,375,545,57,1996,87,42661,270,-4011,149,60320,280,23211,205,18331,194,970,161,19266,223,206854,478,37456,195
374-U1524A-1H-2-A_SHLF9353601 X 860.0mm   6s  10kV 160uA No-Filter DC10.0mm CC12.0mm Y  0.0mm Run1 Rep0 Sett Low.spe,860,1.60E+05,207,42,9615,113,142869,379,581,58,1699,85,41410,268,-4257,148,62287,284,24117,209,18873,196,926,160,15328,214,208940,480,37823,194
374-U1524A-1H-2-A_SHLF9353601 X 880.0mm   6s  10kV 160uA No-Filter DC10.0mm CC12.0mm Y  0.0mm Run1 Rep0 Sett Low.spe,880,1.62E+05,215,42,9510,113,139122,375,501,59,1815,89,45545,278,-4349,151,61901,284,25246,211,19342,198,785,161,15607,216,205850,477,39576,199
374-U1524A-1H-2-A_SHLF9353601 X 900.0mm   6s  10kV 160uA No-Filter DC10.0mm CC12.0mm Y  0.0mm Run1 Rep0 Sett Low.spe,900,1.63E+05,170,41,8854,110,123293,354,468,59,2195,93,51793,363,-4906,180,64321,291,24598,212,20262,203,786,164,13877,214,213287,495,41831,285
374-U1524A-1H-2-A_SHLF9353601 X 920.0mm   6s  10kV 160uA No-Filter DC10.0mm CC12.0mm Y  0.0mm Run1 Rep0 Sett Low.spe,920,1.59E+05,225,40,8874,109,127468,359,476,59,2320,93,51059,291,-4993,153,62126,286,26494,217,19340,199,1136,162,4502,184,203276,474,41372,205
374-U1524A-1H-2-A_SHLF9353601 X 940.0mm   6s  10kV 160uA No-Filter DC10.0mm CC12.0mm Y  0.0mm Run1 Rep0 Sett Low.spe,940,1.57E+05,211,42,8354,107,118616,347,425,59,2234,93,52451,294,-5012,154,60776,284,25152,214,19382,199,1255,161,2134,176,204514,474,41774,206
374-U1524A-1H-2-A_SHLF9353601 X 960.0mm   6s  10kV 160uA No-Filter DC10.0mm CC12.0mm Y  0.0mm Run1 Rep0 Sett Low.spe,960,1.58E+05,211,42,8341,107,118388,346,433,58,2638,93,53750,294,-4760,153,61954,285,26404,215,19728,199,747,162,2511,179,208350,479,40337,204
374-U1524A-1H-2-A_SHLF9353601 X 980.0mm   6s  10kV 160uA No-Filter DC10.0mm CC12.0mm Y  0.0mm Run1 Rep0 Sett Low.spe,980,1.62E+05,140,43,8145,107,113293,339,477,59,2803,95,55164,298,-4562,155,63963,289,25636,215,20578,202,1049,163,2078,179,218072,488,41754,208
374-U1524A-1H-2-A_SHLF9353601 X1000.0mm   6s  10kV 160uA No-Filter DC10.0mm CC12.0mm Y  0.0mm Run1 Rep0 Sett Low.spe,1000,1.60E+05,177,41,7608,103,103477,324,529,59,2660,95,59609,307,-5011,155,62589,287,26131,216,20144,201,1005,163,2288,179,216918,487,42295,210
374-U1524A-1H-2-A_SHLF9353601 X1020.0mm   6s  10kV 160uA No-Filter DC10.0mm CC12.0mm Y  0.0mm Run1 Rep0 Sett Low.spe,1020,1.56E+05,216,39,7858,104,109633,333,384,58,2448,93,51931,291,-4909,152,63870,288,28616,220,20386,199,1013,160,2032,175,205682,475,40214,203
374-U1524A-1H-2-A_SHLF9353601 X1040.0mm   6s  10kV 160uA No-Filter DC10.0mm CC12.0mm Y  0.0mm Run1 Rep0 Sett Low.spe,1040,1.55E+05,216,41,8154,106,110711,336,397,59,2482,94,53616,367,-4342,179,61963,286,26694,216,19858,200,1227,161,2183,176,205154,484,40448,284
374-U1524A-1H-2-A_SHLF9353601 X1050.0mm   6s  10kV 160uA No-Filter DC10.0mm CC12.0mm Y  0.0mm Run1 Rep0 Sett Low.spe,1050,1.59E+05,208,43,9441,113,127446,359,437,59,2095,90,44930,277,-4502,149,67084,292,28210,219,20973,202,1185,160,2234,176,211211,480,39041,198
374-U1524A-1H-2-A_SHLF9353601 X1150.0mm   6s  10kV 160uA No-Filter DC10.0mm CC12.0mm Y  0.0mm Run1 Rep0 Sett Low.spe,1150,1.56E+05,317,42,12394,125,127135,359,572,60,1820,88,38644,262,-4105,149,74457,304,27545,218,25316,211,1198,158,2762,174,197651,465,37261,193
374-U1524A-1H-2-A_SHLF9353601 X1160.0mm   6s  10kV 160uA No-Filter DC10.0mm CC12.0mm Y  0.0mm Run1 Rep0 Sett Low.spe,1160,1.60E+05,293,44,12553,127,130777,364,616,60,1900,87,39936,265,-4374,149,74565,305,27573,218,24937,211,1241,159,2645,176,209637,478,37733,194
374-U1524A-1H-2-A_SHLF9353601 X1170.0mm   6s  10kV 160uA No-Filter DC10.0mm CC12.0mm Y  0.0mm Run1 Rep0 Sett Low.spe,1170,1.62E+05,270,44,11673,123,125340,356,534,60,2060,90,43739,275,-4512,152,72524,302,27317,217,24898,212,1006,160,2715,177,217288,486,39542,199
374-U1524A-1H-2-A_SHLF9353601 X1180.0mm   6s  10kV 160uA No-Filter DC10.0mm CC12.0mm Y  0.0mm Run1 Rep0 Sett Low.spe,1180,1.67E+05,161,43,12143,125,126217,358,622,61,1844,89,44421,276,-4208,151,75096,306,26299,216,25876,215,934,162,2429,179,234249,503,39391,199
374-U1524A-1H-2-A_SHLF9353601 X1190.0mm   6s  10kV 160uA No-Filter DC10.0mm CC12.0mm Y  0.0mm Run1 Rep0 Sett Low.spe,1190,1.73E+05,314,43,12126,125,121811,352,712,63,1876,91,46882,350,-4767,179,75183,309,24594,214,25710,216,1210,166,2441,183,258281,535,41219,280
374-U1524A-1H-2-A_SHLF9353601 X1200.0mm   6s  10kV 160uA No-Filter DC10.0mm CC12.0mm Y  0.0mm Run1 Rep0 Sett Low.spe,1200,1.74E+05,175,43,11659,123,120454,350,490,62,1951,92,47283,285,-5103,153,74625,306,24706,214,24914,214,1024,165,2842,184,264482,531,41544,204
374-U1524A-1H-2-A_SHLF9353601 X1210.0mm   6s  10kV 160uA No-Filter DC10.0mm CC12.0mm Y  0.0mm Run1 Rep0 Sett Low.spe,1210,1.76E+05,232,43,11849,124,125276,357,619,63,1775,91,46563,282,-5005,154,75291,308,26189,218,25435,215,987,166,2701,183,268988,534,40543,203
374-U1524A-1H-2-A_SHLF9353601 X1220.0mm   6s  10kV 160uA No-Filter DC10.0mm CC12.0mm Y  0.0mm Run1 Rep0 Sett Low.spe,1220,1.78E+05,177,46,13029,130,131454,365,677,63,1822,89,41842,273,-4590,153,76695,309,24740,214,25613,216,1268,165,2541,183,275944,541,40845,200
374-U1524A-1H-2-A_SHLF9353601 X1230.0mm   6s  10kV 160uA No-Filter DC10.0mm CC12.0mm Y  0.0mm Run1 Rep0 Sett Low.spe,1230,1.78E+05,250,44,13560,131,134521,369,678,64,1590,89,41626,273,-4887,153,78353,312,24739,214,26004,216,1327,165,2647,183,272035,537,41378,201
374-U1524A-1H-2-A_SHLF9353601 X1240.0mm   6s  10kV 160uA No-Filter DC10.0mm CC12.0mm Y  0.0mm Run1 Rep0 Sett Low.spe,1240,1.84E+05,181,45,13626,132,133819,369,600,63,1702,90,43188,278,-5194,155,80044,315,23101,211,26171,218,1099,166,3013,186,290521,553,42855,204
374-U1524A-1H-2-A_SHLF9353601 X1250.0mm   6s  10kV 160uA No-Filter DC10.0mm CC12.0mm Y  0.0mm Run1 Rep0 Sett Low.spe,1250,1.83E+05,122,46,13903,134,136950,374,723,63,1614,89,40938,335,-4878,179,80198,317,24755,215,26746,219,1302,167,2808,185,287870,561,41314,274
374-U1524A-1H-2-A_SHLF9353601 X1260.0mm   6s  10kV 160uA No-Filter DC10.0mm CC12.0mm Y  0.0mm Run1 Rep0 Sett Low.spe,1260,1.71E+05,197,44,13510,131,134722,370,647,63,1477,87,37124,262,-4987,149,78034,310,25824,214,25603,213,1155,161,2644,179,254330,520,39466,195
374-U1524A-1H-2-A_SHLF9353601 X1270.0mm   6s  10kV 160uA No-Filter DC10.0mm CC12.0mm Y  0.0mm Run1 Rep0 Sett Low.spe,1270,1.62E+05,254,43,13271,130,133671,369,630,62,1537,87,35760,314,-4241,171,75914,308,26184,215,24780,210,994,160,2365,176,229199,505,37621,260
374-U1524A-1H-2-A_SHLF9353601 X1280.0mm   6s  10kV 160uA No-Filter DC10.0mm CC12.0mm Y  0.0mm Run1 Rep0 Sett Low.spe,1280,1.56E+05,306,42,12360,124,120354,349,736,60,1595,84,34560,252,-3996,147,70324,296,23807,206,23417,203,1207,155,2251,171,228199,494,36862,189
374-U1524A-1H-2-A_SHLF9353601 X1290.0mm   6s  10kV 160uA No-Filter DC10.0mm CC12.0mm Y  0.0mm Run1 Rep0 Sett Low.spe,1290,1.73E+05,187,45,12831,129,124615,356,674,63,1690,88,41703,271,-4371,152,76047,307,23970,211,25365,213,1272,163,2673,181,267263,532,39852,199
374-U1524A-1H-2-A_SHLF9353601 X1300.0mm   6s  10kV 160uA No-Filter DC10.0mm CC12.0mm Y  0.0mm Run1 Rep0 Sett Low.spe,1300,1.84E+05,365,45,13993,133,131301,365,711,64,1677,90,42450,275,-4906,153,78945,313,22050,208,26983,219,1696,167,2783,185,298314,561,41226,201
374-U1524A-1H-2-A_SHLF9353601 X1310.0mm   6s  10kV 160uA No-Filter DC10.0mm CC12.0mm Y  0.0mm Run1 Rep0 Sett Low.spe,1310,1.80E+05,221,46,13187,131,131263,366,634,63,1895,91,43496,342,-4986,178,76137,311,25185,215,25898,217,984,166,2540,185,281005,554,41149,276
