Site,Hole,Core,Core Type,Section,Interval (cm),Ar,Ba,Cr,S,Mn,Ca,Si,K,P,Ti,Al,Fe,Rh,Cl,Zn,Rb,Cu,Zr,Mo,Ni,Br,Ga,Pb,Nb,Y,Sr,Bi,ln(Al/Al),predicted_ln(Al/Al),predicted_Al/Al,ln(Ba/Al),predicted_ln(Ba/Al),predicted_Ba/Al
U1456,A,2,H,1,50,-17093,-2346,-76,-2231,333,1261137,64159,19526,-5009,12643,2000,242968,61512,124854,237,1049,53,5329,47,700,1066,68,69,35,-551,100161,30,0.0,0.0,1.0,0.15956456967133845,-5.264433812498713,0.005172320702770337
U1456,A,2,H,1,52,-31181,-6185,1015,-759,1447,883558,79084,20509,-3415,39025,3944,285410,62958,105749,351,1079,54,9372,-74,504,617,70,123,159,152,55062,55,0.0,0.0,1.0,0.4499315691040623,-5.187053893127264,0.005588446747500616
U1456,A,2,H,1,54,-19241,-3611,455,-882,451,954261,73361,27951,-4220,18917,4510,278434,48568,124857,291,1423,98,5080,32,658,1118,64,122,186,-98,73883,24,0.0,0.0,1.0,-0.2223124112192663,-5.366200232404752,0.004671849568934289
U1456,A,2,H,1,56,-22321,-3293,241,-1665,608,1041245,84580,30648,-3739,15483,4887,294177,50356,118731,287,1391,60,4340,337,660,1223,82,87,24,-298,72939,38,0.0,0.0,1.0,-0.3947796148937905,-5.412161028020735,0.004461987305409693
U1456,A,2,H,1,58,-43281,-2612,-10,-2365,201,1208900,81062,20273,-4562,13453,4291,278245,85074,94365,262,1044,49,4775,27,541,1413,84,86,47,-409,93174,37,0.0,0.0,1.0,-0.4964035945952031,-5.4392428085635105,0.004342770334621551
U1456,A,2,H,1,60,-37422,-3175,715,-2296,1010,1150691,78653,17321,-4440,15425,3284,238438,81248,95569,236,935,56,5402,125,652,1133,61,91,126,-260,88949,19,0.0,0.0,1.0,-0.033754559245526866,-5.315951438943077,0.0049126024897886925
U1456,A,2,H,1,62,-44187,-2810,4,-1460,1034,980766,89533,12215,-4036,15783,3869,204951,80632,82003,233,831,35,4279,82,604,794,58,99,58,-321,76837,35,0.0,0.0,1.0,-0.31981159237272144,-5.392182795131149,0.004552026342622935
U1456,A,2,H,1,64,-26403,-3813,807,-594,1022,850195,100164,15741,-4135,22104,3404,224214,69062,85651,146,1021,44,5696,234,491,559,64,122,105,-351,58355,20,0.0,0.0,1.0,0.1134650701642989,-5.276718870931275,0.005109167157475033
U1456,A,2,H,1,66,-30594,-4988,735,-1013,622,795788,78135,10913,-3835,28437,2583,244094,68708,104601,264,1051,65,7082,245,651,548,86,153,27,-78,55087,38,0.0,0.0,1.0,0.6580835137040866,-5.131583468727704,0.005907199198795248
U1456,A,2,H,1,68,-29828,-2410,407,-1192,143,1199326,60735,14623,-5160,11597,2177,241698,70203,116335,245,978,31,5090,27,597,1366,64,120,42,-475,101688,35,0.0,0.0,1.0,0.10167896525015316,-5.279859750747996,0.005093145052394772
U1456,A,2,H,1,70,-37968,-4235,609,-1099,1045,895892,100735,15438,-3480,26096,4864,240997,80087,89179,201,945,32,7033,25,563,638,50,139,185,-79,60367,27,0.0,0.0,1.0,-0.13847781655984817,-5.34385914616576,0.004777398410810839
U1456,A,2,H,1,72,-35240,-4376,477,-743,942,990544,86914,13503,-4250,21934,3882,221358,74800,87406,315,994,61,5988,124,503,786,118,115,138,125,70424,47,0.0,0.0,1.0,0.11978458037286163,-5.275034784270735,0.00511777868697709
U1456,A,2,H,1,74,-25084,-3625,443,-1081,742,779492,83658,13481,-3242,18767,3642,217694,61609,84961,217,1049,33,4771,247,532,641,48,137,128,-105,55943,32,0.0,0.0,1.0,-0.004678692998778106,-5.308203009575331,0.004950815296624633
U1456,A,2,H,1,76,-34677,-3443,970,-802,732,755315,76365,11991,-3285,18449,2472,222236,72881,95546,193,954,54,4680,117,540,500,78,117,90,-294,48804,64,0.0,0.0,1.0,0.33131564476094244,-5.21866385803296,0.005414558914752587
U1456,A,2,H,1,78,-12382,-4888,1307,-653,1178,542231,116243,41416,-1899,33391,8070,329281,39131,96432,346,1539,74,9112,434,646,943,76,127,366,283,19674,37,0.0,0.0,1.0,-0.5013702604125632,-5.440566375639808,0.004337026189006298
