 Spectrum , Sample , Throughput , K -Ka Area , K -Ka AreaStd , Ca-Ka Area , Ca-Ka AreaStd , Ti-Ka Area , Ti-Ka AreaStd , Mn-Ka Area , Mn-Ka AreaStd , Fe-Ka Area , Fe-Ka AreaStd , Co-Ka Area , Co-Ka AreaStd , Ni-Ka Area , Ni-Ka AreaStd , Cu-Ka Area , Cu-Ka AreaStd , Zn-Ka Area , Zn-Ka AreaStd , Ga-Ka Area , Ga-Ka AreaStd , As-Ka Area , As-Ka AreaStd , Br-Ka Area , Br-Ka AreaStd , Rb-Ka Area , Rb-Ka AreaStd , Sr-Ka Area , Sr-Ka AreaStd , Y -Ka Area , Y -Ka AreaStd , Zr-Ka Area , Zr-Ka AreaStd , Nb-Ka Area , Nb-Ka AreaStd , Mo-Ka Area , Mo-Ka AreaStd , Rh-Ka-Inc Area , Rh-Ka-Inc AreaStd , Rh-Ka-Coh Area , Rh-Ka-Coh AreaStd 
363-U1487A-3H-4-A_SHLF8287831 X 340.0mm   6s  30kV 1250uA Pd-Thick DC10.0mm CC12.0mm Y  0.0mm Run2 Rep0 Sett Middle.spe,340,1.48E+05,967,40,59498,232,754,38,1227,46,59429,236,597,60,4594,74,195,31,454,34,34,25,113,27,1932,53,757,58,42990,218,723,82,3186,143,303,133,498,171,47443,546,29292,327
363-U1487A-3H-4-A_SHLF8287831 X 360.0mm   6s  30kV 1250uA Pd-Thick DC10.0mm CC12.0mm Y  0.0mm Run2 Rep0 Sett Middle.spe,360,1.48E+05,849,41,62873,240,787,40,1218,47,57259,232,548,58,4543,74,237,31,485,34,114,26,91,28,1960,54,775,58,41697,215,650,82,3993,144,227,133,365,171,47574,548,28903,326
363-U1487A-3H-4-A_SHLF8287831 X 380.0mm   6s  30kV 1250uA Pd-Thick DC10.0mm CC12.0mm Y  0.0mm Run2 Rep0 Sett Middle.spe,380,1.46E+05,928,41,64590,242,563,37,1123,44,53146,224,506,56,4741,75,227,31,421,32,81,26,80,26,1734,52,656,57,41262,214,543,80,3287,142,411,131,182,169,46992,541,29007,324
363-U1487A-3H-4-A_SHLF8287831 X 400.0mm   6s  30kV 1250uA Pd-Thick DC10.0mm CC12.0mm Y  0.0mm Run2 Rep0 Sett Middle.spe,400,1.43E+05,931,40,65125,243,628,38,1148,44,48716,214,466,53,4772,73,317,31,348,31,96,26,76,26,1843,53,669,57,41506,214,498,80,3305,142,219,131,346,168,45311,536,28196,320
363-U1487A-3H-4-A_SHLF8287831 X 420.0mm   6s  30kV 1250uA Pd-Thick DC10.0mm CC12.0mm Y  0.0mm Run2 Rep0 Sett Middle.spe,420,1.45E+05,895,41,67493,248,540,37,1126,44,46535,210,487,54,4808,75,181,30,395,33,64,26,57,27,1877,52,714,57,41583,214,544,81,3200,141,127,132,184,171,47083,549,29103,324
363-U1487A-3H-4-A_SHLF8287831 X 440.0mm   6s  30kV 1250uA Pd-Thick DC10.0mm CC12.0mm Y  0.0mm Run2 Rep0 Sett Middle.spe,440,1.44E+05,793,41,63909,241,555,37,1267,45,47117,211,382,53,4594,74,249,32,399,33,93,26,101,27,1852,53,747,56,41766,215,565,81,3129,142,233,132,485,169,46035,542,28945,323
363-U1487A-3H-4-A_SHLF8287831 X 460.0mm   6s  30kV 1250uA Pd-Thick DC10.0mm CC12.0mm Y  0.0mm Run2 Rep0 Sett Middle.spe,460,1.45E+05,866,40,74351,259,496,35,1176,45,42204,200,326,51,4669,73,215,29,421,33,38,25,135,27,1899,54,626,56,43528,219,726,80,2997,141,73,131,65,170,47766,549,28538,324
363-U1487A-3H-4-A_SHLF8287831 X 480.0mm   6s  30kV 1250uA Pd-Thick DC10.0mm CC12.0mm Y  0.0mm Run2 Rep0 Sett Middle.spe,480,1.43E+05,771,40,73531,258,438,35,1034,43,41630,199,265,50,4642,74,250,32,337,31,88,25,55,26,1965,54,639,56,43220,218,525,79,2297,139,51,131,411,169,45103,543,27757,321
363-U1487A-3H-4-A_SHLF8287831 X 500.0mm   6s  30kV 1250uA Pd-Thick DC10.0mm CC12.0mm Y  0.0mm Run2 Rep0 Sett Middle.spe,500,1.45E+05,868,41,83170,274,465,35,1001,41,39608,194,431,52,4721,74,250,31,401,31,67,25,143,28,1795,52,482,56,43626,219,437,79,2353,139,324,131,151,168,45370,544,28632,322
363-U1487A-3H-4-A_SHLF8287831 X 520.0mm   6s  30kV 1250uA Pd-Thick DC10.0mm CC12.0mm Y  0.0mm Run2 Rep0 Sett Middle.spe,520,1.48E+05,1007,42,72415,256,552,36,1220,46,46507,210,415,54,4718,74,299,33,407,33,57,25,100,27,1888,54,721,58,44405,221,530,81,2653,141,126,131,354,171,46849,554,29285,326
