FileName,Site,Hole,Core,Type,Section,Interval,Depth (CSF-A),Depth (CCSF),Core_ID , Section_ID , Depth , LiveTime , RealTime , MeasurementDate , MeasurementTime , Sample_ID , User_ID,Al_Area,Si_Area,P_Area,S_Area,Cl_Area,Ar_Area,K_Area,Ca_Area,Ti_Area,Cr_Area,Mn_Area,Fe_Area,Rh_Area,Ba_Area
C:\_XRF Data\__Kulhanek_Oct_2015\U1456C-5H-4\Run 1 at  10kV\U1456C-5H-4  780.0mm  15s  10kV 800uA No-Filter   0.0mm Run1 Rep0.wax,U1456,C,5,H,4,78,33.08,34.85,0,0,780,15,17,10/22/2015 14:48,,780,,7821,122291,-2368,-635,50478,-25739,30670,643133,25480,948,1337,294806,46674,-4106
C:\_XRF Data\__Kulhanek_Oct_2015\U1456C-5H-4\Run 1 at  10kV\U1456C-5H-4  800.0mm  15s  10kV 800uA No-Filter   0.0mm Run1 Rep0.wax,U1456,C,5,H,4,80,33.1,34.87,0,0,800,15,17,10/22/2015 14:48,,800,,7776,138256,-1376,-923,35453,-26687,23201,602270,27288,1461,1145,267233,51169,-4548
C:\_XRF Data\__Kulhanek_Oct_2015\U1456C-5H-4\Run 1 at  10kV\U1456C-5H-4  820.0mm  15s  10kV 800uA No-Filter   0.0mm Run1 Rep0.wax,U1456,C,5,H,4,82,33.12,34.89,0,0,820,15,17,10/22/2015 14:49,,820,,6231,133651,-2085,-444,28385,-21866,18296,570995,22251,993,1156,252850,49325,-3908
C:\_XRF Data\__Kulhanek_Oct_2015\U1456C-5H-4\Run 1 at  10kV\U1456C-5H-4  840.0mm  15s  10kV 800uA No-Filter   0.0mm Run1 Rep0.wax,U1456,C,5,H,4,84,33.14,34.91,0,0,840,15,18,10/22/2015 14:49,,840,,6752,137911,-1316,-675,33872,-31623,18474,581741,50089,1281,1225,353005,61652,-6428
C:\_XRF Data\__Kulhanek_Oct_2015\U1456C-5H-4\Run 1 at  10kV\U1456C-5H-4  860.0mm  15s  10kV 800uA No-Filter   0.0mm Run1 Rep0.wax,U1456,C,5,H,4,86,33.16,34.93,0,0,860,15,18,10/22/2015 14:49,,860,,10077,139043,-317,-491,62778,-21031,40965,523355,42412,1333,1899,374510,42648,-5635
C:\_XRF Data\__Kulhanek_Oct_2015\U1456C-5H-4\Run 1 at  10kV\U1456C-5H-4  880.0mm  15s  10kV 800uA No-Filter   0.0mm Run1 Rep0.wax,U1456,C,5,H,4,88,33.18,34.95,0,0,880,15,18,10/22/2015 14:50,,880,,7901,113232,-1934,-2813,62039,-43669,33969,892933,22059,1092,1237,351565,66276,-3802
C:\_XRF Data\__Kulhanek_Oct_2015\U1456C-5H-4\Run 1 at  10kV\U1456C-5H-4  900.0mm  15s  10kV 800uA No-Filter   0.0mm Run1 Rep0.wax,U1456,C,5,H,4,90,33.2,34.97,0,0,900,15,18,10/22/2015 14:50,,900,,7549,110673,-2178,-1942,77559,-29553,40031,832666,24559,711,1586,374840,48095,-4556
C:\_XRF Data\__Kulhanek_Oct_2015\U1456C-5H-4\Run 1 at  10kV\U1456C-5H-4  920.0mm  15s  10kV 800uA No-Filter   0.0mm Run1 Rep0.wax,U1456,C,5,H,4,92,33.22,34.99,0,0,920,15,18,10/22/2015 14:51,,920,,8740,115988,-1236,-1281,86334,-12601,47945,678018,30099,1171,1029,436644,33187,-5108
C:\_XRF Data\__Kulhanek_Oct_2015\U1456C-5H-4\Run 1 at  10kV\U1456C-5H-4  940.0mm  15s  10kV 800uA No-Filter   0.0mm Run1 Rep0.wax,U1456,C,5,H,4,94,33.24,35.01,0,0,940,15,18,10/22/2015 14:51,,940,,9190,138844,-550,-1680,67397,-21808,38256,632308,37714,1451,942,367327,43422,-5900
C:\_XRF Data\__Kulhanek_Oct_2015\U1456C-5H-4\Run 1 at  10kV\U1456C-5H-4  960.0mm  15s  10kV 800uA No-Filter   0.0mm Run1 Rep0.wax,U1456,C,5,H,4,96,33.26,35.03,0,0,960,15,18,10/22/2015 14:52,,960,,9934,125646,-1905,-1343,73842,-17254,45684,760197,28375,1373,871,389790,34651,-5119
C:\_XRF Data\__Kulhanek_Oct_2015\U1456C-5H-4\Run 1 at  10kV\U1456C-5H-4  980.0mm  15s  10kV 800uA No-Filter   0.0mm Run1 Rep0.wax,U1456,C,5,H,4,98,33.28,35.05,0,0,980,15,18,10/22/2015 14:52,,980,,8464,117529,-1828,-1730,69522,-34706,44990,742585,27952,834,675,394165,53323,-4830
C:\_XRF Data\__Kulhanek_Oct_2015\U1456C-5H-4\Run 1 at  10kV\U1456C-5H-4 1000.0mm  15s  10kV 800uA No-Filter   0.0mm Run1 Rep0.wax,U1456,C,5,H,4,100,33.3,35.07,0,0,1000,15,18,10/22/2015 14:53,,1000,,7924,129974,-2156,336,64192,-32920,37649,689657,55417,1105,1452,392014,54399,-7785
C:\_XRF Data\__Kulhanek_Oct_2015\U1456C-5H-4\Run 1 at  10kV\U1456C-5H-4 1020.0mm  15s  10kV 800uA No-Filter   0.0mm Run1 Rep0.wax,U1456,C,5,H,4,102,33.32,35.09,0,0,1020,15,18,10/22/2015 14:53,,1020,,7402,118349,-1199,-2071,67803,-37519,35911,672929,33548,1684,1178,396325,56751,-5432
C:\_XRF Data\__Kulhanek_Oct_2015\U1456C-5H-4\Run 1 at  10kV\U1456C-5H-4 1040.0mm  15s  10kV 800uA No-Filter   0.0mm Run1 Rep0.wax,U1456,C,5,H,4,104,33.34,35.11,0,0,1040,15,17,10/22/2015 14:54,,1040,,7190,129691,-1634,-701,60181,-30686,23503,595427,29882,1193,1128,282451,53025,-5050
C:\_XRF Data\__Kulhanek_Oct_2015\U1456C-5H-4\Run 1 at  10kV\U1456C-5H-4 1060.0mm  15s  10kV 800uA No-Filter   0.0mm Run1 Rep0.wax,U1456,C,5,H,4,106,33.36,35.13,0,0,1060,15,18,10/22/2015 14:54,,1060,,7352,108909,-2895,-661,72403,-15307,31470,750359,24573,758,1195,306049,37263,-4338
C:\_XRF Data\__Kulhanek_Oct_2015\U1456C-5H-4\Run 1 at  10kV\U1456C-5H-4 1080.0mm  15s  10kV 800uA No-Filter   0.0mm Run1 Rep0.wax,U1456,C,5,H,4,108,33.38,35.15,0,0,1080,15,18,10/22/2015 14:55,,1080,,8435,116905,-2721,-2362,72862,-25486,36994,909209,22635,415,1121,351419,48512,-3590
C:\_XRF Data\__Kulhanek_Oct_2015\U1456C-5H-4\Run 1 at  10kV\U1456C-5H-4 1100.0mm  15s  10kV 800uA No-Filter   0.0mm Run1 Rep0.wax,U1456,C,5,H,4,110,33.4,35.17,0,0,1100,15,18,10/22/2015 14:55,,1100,,8019,113255,-2295,-2503,61130,-50210,33000,877193,22417,1039,1015,364751,70957,-4073
C:\_XRF Data\__Kulhanek_Oct_2015\U1456C-5H-4\Run 1 at  10kV\U1456C-5H-4 1120.0mm  15s  10kV 800uA No-Filter   0.0mm Run1 Rep0.wax,U1456,C,5,H,4,112,33.42,35.19,0,0,1120,15,18,10/22/2015 14:56,,1120,,10022,131341,-1513,-1654,68364,-25569,40988,750678,30424,1122,841,389137,45749,-5803
C:\_XRF Data\__Kulhanek_Oct_2015\U1456C-5H-4\Run 1 at  10kV\U1456C-5H-4 1140.0mm  15s  10kV 800uA No-Filter   0.0mm Run1 Rep0.wax,U1456,C,5,H,4,114,33.44,35.21,0,0,1140,15,18,10/22/2015 14:56,,1140,,7665,123916,-1575,-1157,57359,-25566,28570,615337,33876,615,973,314218,46523,-5119
C:\_XRF Data\__Kulhanek_Oct_2015\U1456C-5H-4\Run 1 at  10kV\U1456C-5H-4 1160.0mm  15s  10kV 800uA No-Filter   0.0mm Run1 Rep0.wax,U1456,C,5,H,4,116,33.46,35.23,0,0,1160,15,18,10/22/2015 14:57,,1160,,7552,136532,-2261,-543,51638,-23442,23746,655246,35420,1021,1056,301859,46147,-5647
C:\_XRF Data\__Kulhanek_Oct_2015\U1456C-5H-4\Run 1 at  10kV\U1456C-5H-4 1180.0mm  15s  10kV 800uA No-Filter   0.0mm Run1 Rep0.wax,U1456,C,5,H,4,118,33.48,35.25,0,0,1180,15,18,10/22/2015 14:57,,1180,,10864,131154,-1563,-909,73466,-31861,44465,631460,35610,1596,614,479350,50170,-5569
