FileName,Site,Hole,Core,Type,Section,Interval,Depth (CSF-A),Depth (CCSF),Core_ID , Section_ID , Depth , LiveTime , RealTime , MeasurementDate , MeasurementTime , Sample_ID , User_ID,Al_Area,Si_Area,P_Area,S_Area,Cl_Area,Ar_Area,K_Area,Ca_Area,Ti_Area,Cr_Area,Mn_Area,Fe_Area,Rh_Area,Ba_Area
C:\_XRF Data\__Kulhanek_Lyle_Dec_2015\U1456C-1H-1\Run 1 at  10kV\U1456C-1H-1   40.0mm  15s  10kV 800uA No-Filter   0.0mm Run1 Rep0.wax,U1456,C,1,H,1,4,0.04,0.04,0,0,40,15,18,12/8/2015 12:47,,40,,1653,50139,-5078,-2133,110497,-66670,1021,1069949,7987,-19,2938,200622,106342,-2005
C:\_XRF Data\__Kulhanek_Lyle_Dec_2015\U1456C-1H-1\Run 1 at  10kV\U1456C-1H-1   60.0mm  15s  10kV 800uA No-Filter   0.0mm Run1 Rep0.wax,U1456,C,1,H,1,6,0.06,0.06,0,0,60,15,19,12/8/2015 12:47,,60,,2279,61315,-5215,-2802,111944,-47603,7703,1162184,9483,219,1428,220294,86707,-2607
C:\_XRF Data\__Kulhanek_Lyle_Dec_2015\U1456C-1H-1\Run 1 at  10kV\U1456C-1H-1   70.0mm  15s  10kV 800uA No-Filter   0.0mm Run1 Rep0.wax,U1456,C,1,H,1,7,0.07,0.07,0,0,70,15,18,12/8/2015 12:48,,70,,1738,55223,-5377,-2617,115612,-41488,8449,1149608,8047,356,385,214774,85465,-1658
C:\_XRF Data\__Kulhanek_Lyle_Dec_2015\U1456C-1H-1\Run 1 at  10kV\U1456C-1H-1   90.0mm  15s  10kV 800uA No-Filter   0.0mm Run1 Rep0.wax,U1456,C,1,H,1,9,0.09,0.09,0,0,90,15,19,12/8/2015 12:48,,90,,1329,52102,-5845,-3911,101616,-58668,-1398,1270150,6628,226,330,181869,110161,-1964
C:\_XRF Data\__Kulhanek_Lyle_Dec_2015\U1456C-1H-1\Run 1 at  10kV\U1456C-1H-1  100.0mm  15s  10kV 800uA No-Filter   0.0mm Run1 Rep0.wax,U1456,C,1,H,1,10,0.1,0.1,0,0,100,15,18,12/8/2015 12:49,,100,,696,36838,-5875,-2552,143977,-38333,-2077,1207311,4190,157,786,155330,83113,-1583
C:\_XRF Data\__Kulhanek_Lyle_Dec_2015\U1456C-1H-1\Run 1 at  10kV\U1456C-1H-1  120.0mm  15s  10kV 800uA No-Filter   0.0mm Run1 Rep0.wax,U1456,C,1,H,1,12,0.12,0.12,0,0,120,15,18,12/8/2015 12:49,,120,,586,32602,-5776,-1794,154752,-22050,1532,1176768,3802,91,418,151146,74013,-638
C:\_XRF Data\__Kulhanek_Lyle_Dec_2015\U1456C-1H-1\Run 1 at  10kV\U1456C-1H-1  140.0mm  15s  10kV 800uA No-Filter   0.0mm Run1 Rep0.wax,U1456,C,1,H,1,14,0.14,0.14,0,0,140,15,18,12/8/2015 12:50,,140,,683,36035,-5955,-1191,148432,-26778,679,1143136,4242,124,274,146530,71251,-973
C:\_XRF Data\__Kulhanek_Lyle_Dec_2015\U1456C-1H-1\Run 1 at  10kV\U1456C-1H-1  160.0mm  15s  10kV 800uA No-Filter   0.0mm Run1 Rep0.wax,U1456,C,1,H,1,16,0.16,0.16,0,0,160,15,18,12/8/2015 12:50,,160,,826,40211,-5822,-2160,140712,-45652,-2834,1111699,4195,-7,390,154341,89841,-592
C:\_XRF Data\__Kulhanek_Lyle_Dec_2015\U1456C-1H-1\Run 1 at  10kV\U1456C-1H-1  180.0mm  15s  10kV 800uA No-Filter   0.0mm Run1 Rep0.wax,U1456,C,1,H,1,18,0.18,0.18,0,0,180,15,18,12/8/2015 12:51,,180,,907,37914,-5845,-1313,143124,-31160,445,1109944,6731,30,375,185754,82977,-1640
C:\_XRF Data\__Kulhanek_Lyle_Dec_2015\U1456C-1H-1\Run 1 at  10kV\U1456C-1H-1  200.0mm  15s  10kV 800uA No-Filter   0.0mm Run1 Rep0.wax,U1456,C,1,H,1,20,0.2,0.2,0,0,200,15,18,12/8/2015 12:51,,200,,469,29887,-5580,-2114,114586,-38118,-5285,1088329,3794,39,439,120036,82436,-1156
C:\_XRF Data\__Kulhanek_Lyle_Dec_2015\U1456C-1H-1\Run 1 at  10kV\U1456C-1H-1  220.0mm  15s  10kV 800uA No-Filter   0.0mm Run1 Rep0.wax,U1456,C,1,H,1,22,0.22,0.22,0,0,220,15,18,12/8/2015 12:52,,220,,1066,40293,-6198,-1884,131971,-20015,3377,1280757,4954,78,999,152858,66091,-1727
C:\_XRF Data\__Kulhanek_Lyle_Dec_2015\U1456C-1H-1\Run 1 at  10kV\U1456C-1H-1  240.0mm  15s  10kV 800uA No-Filter   0.0mm Run1 Rep0.wax,U1456,C,1,H,1,24,0.24,0.24,0,0,240,15,19,12/8/2015 12:52,,240,,1191,42439,-5744,-2935,108585,-49705,-2157,1338143,4684,-334,1124,152035,96987,-1466
C:\_XRF Data\__Kulhanek_Lyle_Dec_2015\U1456C-1H-1\Run 1 at  10kV\U1456C-1H-1  260.0mm  15s  10kV 800uA No-Filter   0.0mm Run1 Rep0.wax,U1456,C,1,H,1,26,0.26,0.26,0,0,260,15,19,12/8/2015 12:52,,260,,-54,39873,-6419,-3848,91645,-54532,-4855,1482752,3077,-490,4767,133804,109776,-938
C:\_XRF Data\__Kulhanek_Lyle_Dec_2015\U1456C-1H-1\Run 1 at  10kV\U1456C-1H-1  280.0mm  15s  10kV 800uA No-Filter   0.0mm Run1 Rep0.wax,U1456,C,1,H,1,28,0.28,0.28,0,0,280,15,19,12/8/2015 12:53,,280,,-394,38437,-6474,-4301,101891,-54685,-5500,1634580,2669,-405,-337,155242,101840,-699
C:\_XRF Data\__Kulhanek_Lyle_Dec_2015\U1456C-1H-1\Run 1 at  10kV\U1456C-1H-1  300.0mm  15s  10kV 800uA No-Filter   0.0mm Run1 Rep0.wax,U1456,C,1,H,1,30,0.3,0.3,0,0,300,15,19,12/8/2015 12:53,,300,,44,37730,-6101,-4490,90847,-60514,-6439,1686588,2525,-297,-249,153744,113462,-1102
C:\_XRF Data\__Kulhanek_Lyle_Dec_2015\U1456C-1H-1\Run 1 at  10kV\U1456C-1H-1  320.0mm  15s  10kV 800uA No-Filter   0.0mm Run1 Rep0.wax,U1456,C,1,H,1,32,0.32,0.32,0,0,320,15,19,12/8/2015 12:54,,320,,347,43037,-6576,-4894,77544,-57218,-5912,1776908,2783,-523,-127,151256,117948,-799
C:\_XRF Data\__Kulhanek_Lyle_Dec_2015\U1456C-1H-1\Run 1 at  10kV\U1456C-1H-1  340.0mm  15s  10kV 800uA No-Filter   0.0mm Run1 Rep0.wax,U1456,C,1,H,1,34,0.34,0.34,0,0,340,15,19,12/8/2015 12:54,,340,,-165,37020,-6532,-4791,101406,-60618,-6747,1668813,2082,-61,200,143858,112471,-1043
C:\_XRF Data\__Kulhanek_Lyle_Dec_2015\U1456C-1H-1\Run 1 at  10kV\U1456C-1H-1  380.0mm  15s  10kV 800uA No-Filter   0.0mm Run1 Rep0.wax,U1456,C,1,H,1,38,0.38,0.38,0,0,380,15,19,12/8/2015 12:55,,380,,432,37865,-6804,-3028,108260,-59662,-5350,1504616,3495,-70,275,140583,112467,-1091
C:\_XRF Data\__Kulhanek_Lyle_Dec_2015\U1456C-1H-1\Run 1 at  10kV\U1456C-1H-1  400.0mm  15s  10kV 800uA No-Filter   0.0mm Run1 Rep0.wax,U1456,C,1,H,1,40,0.4,0.4,0,0,400,15,19,12/8/2015 12:55,,400,,581,35437,-6492,-3196,118566,-56908,-1559,1335953,4970,83,391,155027,106226,-1422
C:\_XRF Data\__Kulhanek_Lyle_Dec_2015\U1456C-1H-1\Run 1 at  10kV\U1456C-1H-1  420.0mm  15s  10kV 800uA No-Filter   0.0mm Run1 Rep0.wax,U1456,C,1,H,1,42,0.42,0.42,0,0,420,15,19,12/8/2015 12:56,,420,,1258,49162,-5581,-2980,108752,-52681,2507,1277857,4918,-139,230,161296,98553,-1123
C:\_XRF Data\__Kulhanek_Lyle_Dec_2015\U1456C-1H-1\Run 1 at  10kV\U1456C-1H-1  440.0mm  15s  10kV 800uA No-Filter   0.0mm Run1 Rep0.wax,U1456,C,1,H,1,44,0.44,0.44,0,0,440,15,18,12/8/2015 12:56,,440,,1257,43895,-5348,-2157,128833,-38042,5707,1182336,5693,181,334,160480,87550,-1778
C:\_XRF Data\__Kulhanek_Lyle_Dec_2015\U1456C-1H-1\Run 1 at  10kV\U1456C-1H-1  460.0mm  15s  10kV 800uA No-Filter   0.0mm Run1 Rep0.wax,U1456,C,1,H,1,46,0.46,0.46,0,0,460,15,19,12/8/2015 12:57,,460,,1475,50717,-5970,-2945,110771,-49090,3793,1306023,4803,-165,307,164913,100086,-999
C:\_XRF Data\__Kulhanek_Lyle_Dec_2015\U1456C-1H-1\Run 1 at  10kV\U1456C-1H-1  480.0mm  15s  10kV 800uA No-Filter   0.0mm Run1 Rep0.wax,U1456,C,1,H,1,48,0.48,0.48,0,0,480,15,19,12/8/2015 12:57,,480,,918,48470,-6469,-4780,95061,-56002,2025,1619205,4801,-411,26,157555,103661,-1682
C:\_XRF Data\__Kulhanek_Lyle_Dec_2015\U1456C-1H-1\Run 1 at  10kV\U1456C-1H-1  500.0mm  15s  10kV 800uA No-Filter   0.0mm Run1 Rep0.wax,U1456,C,1,H,1,50,0.5,0.5,0,0,500,15,19,12/8/2015 12:58,,500,,2484,68856,-5225,-3396,98020,-47352,12660,1294551,7374,-128,156,198660,84726,-1844
C:\_XRF Data\__Kulhanek_Lyle_Dec_2015\U1456C-1H-1\Run 1 at  10kV\U1456C-1H-1  520.0mm  15s  10kV 800uA No-Filter   0.0mm Run1 Rep0.wax,U1456,C,1,H,1,52,0.52,0.52,0,0,520,15,19,12/8/2015 12:58,,520,,2492,66060,-5163,-3350,101527,-50571,13559,1194199,8445,-35,2,202255,93676,-1825
C:\_XRF Data\__Kulhanek_Lyle_Dec_2015\U1456C-1H-1\Run 1 at  10kV\U1456C-1H-1  540.0mm  15s  10kV 800uA No-Filter   0.0mm Run1 Rep0.wax,U1456,C,1,H,1,54,0.54,0.54,0,0,540,15,19,12/8/2015 12:59,,540,,3570,76526,-4434,-2556,109387,-27602,20927,1211253,9650,-115,354,210399,63969,-2476
C:\_XRF Data\__Kulhanek_Lyle_Dec_2015\U1456C-1H-1\Run 1 at  10kV\U1456C-1H-1  560.0mm  15s  10kV 800uA No-Filter   0.0mm Run1 Rep0.wax,U1456,C,1,H,1,56,0.56,0.56,0,0,560,15,19,12/8/2015 12:59,,560,,4500,88271,-4561,-2450,93240,-38583,24239,1162396,10488,746,272,243730,73349,-2840
C:\_XRF Data\__Kulhanek_Lyle_Dec_2015\U1456C-1H-1\Run 1 at  10kV\U1456C-1H-1  580.0mm  15s  10kV 800uA No-Filter   0.0mm Run1 Rep0.wax,U1456,C,1,H,1,58,0.58,0.58,0,0,580,15,19,12/8/2015 13:00,,580,,5027,91783,-4448,-3406,91597,-37913,24269,1187641,10881,100,173,245767,74383,-2285
C:\_XRF Data\__Kulhanek_Lyle_Dec_2015\U1456C-1H-1\Run 1 at  10kV\U1456C-1H-1  600.0mm  15s  10kV 800uA No-Filter   0.0mm Run1 Rep0.wax,U1456,C,1,H,1,60,0.6,0.6,0,0,600,15,19,12/8/2015 13:00,,600,,4276,81990,-4019,-2862,97616,-40118,22301,1147948,10944,-59,623,228014,75041,-2471
C:\_XRF Data\__Kulhanek_Lyle_Dec_2015\U1456C-1H-1\Run 1 at  10kV\U1456C-1H-1  620.0mm  15s  10kV 800uA No-Filter   0.0mm Run1 Rep0.wax,U1456,C,1,H,1,62,0.62,0.62,0,0,620,15,18,12/8/2015 13:01,,620,,3566,72346,-3938,-1976,116145,-24233,21952,1023958,8798,421,1173,216300,60773,-1917
C:\_XRF Data\__Kulhanek_Lyle_Dec_2015\U1456C-1H-1\Run 1 at  10kV\U1456C-1H-1  640.0mm  15s  10kV 800uA No-Filter   0.0mm Run1 Rep0.wax,U1456,C,1,H,1,64,0.64,0.64,0,0,640,15,18,12/8/2015 13:01,,640,,2028,53587,-4282,-403,149651,-4551,19866,863085,8950,722,184,248449,43998,-1969
C:\_XRF Data\__Kulhanek_Lyle_Dec_2015\U1456C-1H-1\Run 1 at  10kV\U1456C-1H-1  660.0mm  15s  10kV 800uA No-Filter   0.0mm Run1 Rep0.wax,U1456,C,1,H,1,66,0.66,0.66,0,0,660,15,18,12/8/2015 13:02,,660,,2689,58514,-4992,-2272,110220,-46631,11089,1184476,7245,655,325,200891,89512,-1778
C:\_XRF Data\__Kulhanek_Lyle_Dec_2015\U1456C-1H-1\Run 1 at  10kV\U1456C-1H-1  680.0mm  15s  10kV 800uA No-Filter   0.0mm Run1 Rep0.wax,U1456,C,1,H,1,68,0.68,0.68,0,0,680,15,18,12/8/2015 13:02,,680,,2187,56774,-5168,-1326,130971,-23588,15897,1013381,8314,126,153,216195,64453,-1783
C:\_XRF Data\__Kulhanek_Lyle_Dec_2015\U1456C-1H-1\Run 1 at  10kV\U1456C-1H-1  700.0mm  15s  10kV 800uA No-Filter   0.0mm Run1 Rep0.wax,U1456,C,1,H,1,70,0.7,0.7,0,0,700,15,19,12/8/2015 13:03,,700,,765,44884,-6511,-2371,121452,-51334,143,1317261,6501,-291,309,148751,100180,-2096
C:\_XRF Data\__Kulhanek_Lyle_Dec_2015\U1456C-1H-1\Run 1 at  10kV\U1456C-1H-1  720.0mm  15s  10kV 800uA No-Filter   0.0mm Run1 Rep0.wax,U1456,C,1,H,1,72,0.72,0.72,0,0,720,15,19,12/8/2015 13:03,,720,,1142,48316,-6631,-3079,102874,-59429,-1941,1395485,5197,131,318,152449,112498,-1012
C:\_XRF Data\__Kulhanek_Lyle_Dec_2015\U1456C-1H-1\Run 1 at  10kV\U1456C-1H-1  740.0mm  15s  10kV 800uA No-Filter   0.0mm Run1 Rep0.wax,U1456,C,1,H,1,74,0.74,0.74,0,0,740,15,18,12/8/2015 13:03,,740,,2272,57657,-5938,-1122,130019,-27295,10508,1113554,7896,-103,326,176768,66971,-1632
C:\_XRF Data\__Kulhanek_Lyle_Dec_2015\U1456C-1H-1\Run 1 at  10kV\U1456C-1H-1  760.0mm  15s  10kV 800uA No-Filter   0.0mm Run1 Rep0.wax,U1456,C,1,H,1,76,0.76,0.76,0,0,760,15,18,12/8/2015 13:04,,760,,2316,61744,-5416,-2169,111805,-47897,11351,1133041,9302,165,600,208138,82424,-2441
C:\_XRF Data\__Kulhanek_Lyle_Dec_2015\U1456C-1H-1\Run 1 at  10kV\U1456C-1H-1  780.0mm  15s  10kV 800uA No-Filter   0.0mm Run1 Rep0.wax,U1456,C,1,H,1,78,0.78,0.78,0,0,780,15,19,12/8/2015 13:04,,780,,2170,61011,-5732,-1611,107843,-43011,10509,1247407,8634,119,296,208927,86575,-2644
C:\_XRF Data\__Kulhanek_Lyle_Dec_2015\U1456C-1H-1\Run 1 at  10kV\U1456C-1H-1  800.0mm  15s  10kV 800uA No-Filter   0.0mm Run1 Rep0.wax,U1456,C,1,H,1,80,0.8,0.8,0,0,800,15,19,12/8/2015 13:05,,800,,826,45233,-6644,-461,119707,-36300,4646,1351264,6070,-17,349,182657,86224,-1668
C:\_XRF Data\__Kulhanek_Lyle_Dec_2015\U1456C-1H-1\Run 1 at  10kV\U1456C-1H-1  820.0mm  15s  10kV 800uA No-Filter   0.0mm Run1 Rep0.wax,U1456,C,1,H,1,82,0.82,0.82,0,0,820,15,18,12/8/2015 13:05,,820,,2594,64933,-4932,-1247,124266,-15640,19064,1042222,9767,219,496,212904,53330,-2314
C:\_XRF Data\__Kulhanek_Lyle_Dec_2015\U1456C-1H-1\Run 1 at  10kV\U1456C-1H-1  840.0mm  15s  10kV 800uA No-Filter   0.0mm Run1 Rep0.wax,U1456,C,1,H,1,84,0.84,0.84,0,0,840,15,18,12/8/2015 13:06,,840,,2843,68771,-4655,-1264,124655,-8637,21497,987322,9703,313,927,205008,50272,-2342
C:\_XRF Data\__Kulhanek_Lyle_Dec_2015\U1456C-1H-1\Run 1 at  10kV\U1456C-1H-1  860.0mm  15s  10kV 800uA No-Filter   0.0mm Run1 Rep0.wax,U1456,C,1,H,1,86,0.86,0.86,0,0,860,15,18,12/8/2015 13:06,,860,,2678,65269,-4428,-1910,115138,-29192,18473,1021761,10229,476,643,209449,61063,-2654
C:\_XRF Data\__Kulhanek_Lyle_Dec_2015\U1456C-1H-1\Run 1 at  10kV\U1456C-1H-1  880.0mm  15s  10kV 800uA No-Filter   0.0mm Run1 Rep0.wax,U1456,C,1,H,1,88,0.88,0.88,0,0,880,15,18,12/8/2015 13:07,,880,,1849,56215,-4806,-1036,144186,-15002,20414,977900,8151,599,766,206912,54440,-1573
C:\_XRF Data\__Kulhanek_Lyle_Dec_2015\U1456C-1H-1\Run 1 at  10kV\U1456C-1H-1  900.0mm  15s  10kV 800uA No-Filter   0.0mm Run1 Rep0.wax,U1456,C,1,H,1,90,0.9,0.9,0,0,900,15,18,12/8/2015 13:07,,900,,1858,47702,-4864,-418,152577,-43813,12362,862780,8821,296,604,210563,77737,-2081
C:\_XRF Data\__Kulhanek_Lyle_Dec_2015\U1456C-1H-1\Run 1 at  10kV\U1456C-1H-1  920.0mm  15s  10kV 800uA No-Filter   0.0mm Run1 Rep0.wax,U1456,C,1,H,1,92,0.92,0.92,0,0,920,15,18,12/8/2015 13:08,,920,,2304,58616,-5598,-1368,129045,-42327,16302,1054413,7039,311,436,226447,85037,-1288
C:\_XRF Data\__Kulhanek_Lyle_Dec_2015\U1456C-1H-1\Run 1 at  10kV\U1456C-1H-1  940.0mm  15s  10kV 800uA No-Filter   0.0mm Run1 Rep0.wax,U1456,C,1,H,1,94,0.94,0.94,0,0,940,15,18,12/8/2015 13:08,,940,,2501,51183,-5529,82,138203,-30978,14258,1079801,7503,699,415,197732,72722,-1960
C:\_XRF Data\__Kulhanek_Lyle_Dec_2015\U1456C-1H-1\Run 1 at  10kV\U1456C-1H-1  960.0mm  15s  10kV 800uA No-Filter   0.0mm Run1 Rep0.wax,U1456,C,1,H,1,96,0.96,0.96,0,0,960,15,19,12/8/2015 13:09,,960,,1197,50172,-6831,1175,140971,-8928,20168,1183595,5866,153,123,205772,48843,-1263
C:\_XRF Data\__Kulhanek_Lyle_Dec_2015\U1456C-1H-1\Run 1 at  10kV\U1456C-1H-1  980.0mm  15s  10kV 800uA No-Filter   0.0mm Run1 Rep0.wax,U1456,C,1,H,1,98,0.98,0.98,0,0,980,15,18,12/8/2015 13:09,,980,,949,43476,-6189,849,148196,-31385,11608,1042351,7900,396,549,185526,76139,-1735
C:\_XRF Data\__Kulhanek_Lyle_Dec_2015\U1456C-1H-1\Run 1 at  10kV\U1456C-1H-1 1000.0mm  15s  10kV 800uA No-Filter   0.0mm Run1 Rep0.wax,U1456,C,1,H,1,100,1,1,0,0,1000,15,18,12/8/2015 13:10,,1000,,2233,73336,-5674,-1079,123009,-30301,13152,1050761,11443,-59,1199,194266,76138,-2379
C:\_XRF Data\__Kulhanek_Lyle_Dec_2015\U1456C-1H-1\Run 1 at  10kV\U1456C-1H-1 1020.0mm  15s  10kV 800uA No-Filter   0.0mm Run1 Rep0.wax,U1456,C,1,H,1,102,1.02,1.02,0,0,1020,15,18,12/8/2015 13:10,,1020,,1953,51772,-5392,-1569,132599,-31205,10405,1109494,6475,179,680,169611,69638,-1241
C:\_XRF Data\__Kulhanek_Lyle_Dec_2015\U1456C-1H-1\Run 1 at  10kV\U1456C-1H-1 1040.0mm  15s  10kV 800uA No-Filter   0.0mm Run1 Rep0.wax,U1456,C,1,H,1,104,1.04,1.04,0,0,1040,15,18,12/8/2015 13:11,,1040,,812,46453,-5746,-923,133950,-32852,7356,1180074,4826,45,126,182889,71736,-1446
C:\_XRF Data\__Kulhanek_Lyle_Dec_2015\U1456C-1H-1\Run 1 at  10kV\U1456C-1H-1 1060.0mm  15s  10kV 800uA No-Filter   0.0mm Run1 Rep0.wax,U1456,C,1,H,1,106,1.06,1.06,0,0,1060,15,19,12/8/2015 13:11,,1060,,929,42462,-6037,-2268,110414,-52499,-703,1423184,4106,-333,157,148278,102335,-1489
C:\_XRF Data\__Kulhanek_Lyle_Dec_2015\U1456C-1H-1\Run 1 at  10kV\U1456C-1H-1 1080.0mm  15s  10kV 800uA No-Filter   0.0mm Run1 Rep0.wax,U1456,C,1,H,1,108,1.08,1.08,0,0,1080,15,19,12/8/2015 13:12,,1080,,22,33617,-6676,-2874,101094,-66181,-7474,1410967,3521,-37,38,137303,120236,-1016
C:\_XRF Data\__Kulhanek_Lyle_Dec_2015\U1456C-1H-1\Run 1 at  10kV\U1456C-1H-1 1100.0mm  15s  10kV 800uA No-Filter   0.0mm Run1 Rep0.wax,U1456,C,1,H,1,110,1.1,1.1,0,0,1100,15,18,12/8/2015 13:12,,1100,,1042,40552,-5242,-1929,109598,-45183,589,1258418,4348,-404,560,149125,93977,-921
C:\_XRF Data\__Kulhanek_Lyle_Dec_2015\U1456C-1H-1\Run 1 at  10kV\U1456C-1H-1 1120.0mm  15s  10kV 800uA No-Filter   0.0mm Run1 Rep0.wax,U1456,C,1,H,1,112,1.12,1.12,0,0,1120,15,19,12/8/2015 13:13,,1120,,-675,27447,-7157,-2723,107834,-46646,-6912,1706291,2266,-264,82,98053,106535,-1194
C:\_XRF Data\__Kulhanek_Lyle_Dec_2015\U1456C-1H-1\Run 1 at  10kV\U1456C-1H-1 1140.0mm  15s  10kV 800uA No-Filter   0.0mm Run1 Rep0.wax,U1456,C,1,H,1,114,1.14,1.14,0,0,1140,15,19,12/8/2015 13:13,,1140,,-397,35177,-7961,-1893,97684,-44814,-4370,1638071,2975,-368,214,118666,98827,-964
C:\_XRF Data\__Kulhanek_Lyle_Dec_2015\U1456C-1H-1\Run 1 at  10kV\U1456C-1H-1 1160.0mm  15s  10kV 800uA No-Filter   0.0mm Run1 Rep0.wax,U1456,C,1,H,1,116,1.16,1.16,0,0,1160,15,19,12/8/2015 13:14,,1160,,2032,54183,-5712,-3366,93735,-49582,3650,1472971,5240,-107,43,170172,99651,-1237
C:\_XRF Data\__Kulhanek_Lyle_Dec_2015\U1456C-1H-1\Run 1 at  10kV\U1456C-1H-1 1180.0mm  15s  10kV 800uA No-Filter   0.0mm Run1 Rep0.wax,U1456,C,1,H,1,118,1.18,1.18,0,0,1180,15,19,12/8/2015 13:14,,1180,,920,45657,-6399,-2927,104659,-55294,2903,1410587,5248,-152,413,178376,99154,-1698
C:\_XRF Data\__Kulhanek_Lyle_Dec_2015\U1456C-1H-1\Run 1 at  10kV\U1456C-1H-1 1200.0mm  15s  10kV 800uA No-Filter   0.0mm Run1 Rep0.wax,U1456,C,1,H,1,120,1.2,1.2,0,0,1200,15,19,12/8/2015 13:15,,1200,,2612,65739,-5201,-3241,96028,-41394,11299,1372023,8042,-337,419,193039,86274,-1935
C:\_XRF Data\__Kulhanek_Lyle_Dec_2015\U1456C-1H-1\Run 1 at  10kV\U1456C-1H-1 1220.0mm  15s  10kV 800uA No-Filter   0.0mm Run1 Rep0.wax,U1456,C,1,H,1,122,1.22,1.22,0,0,1220,15,19,12/8/2015 13:15,,1220,,1622,57106,-5869,-2801,115762,-20979,13010,1341147,6227,-418,176,185723,63074,-1684
C:\_XRF Data\__Kulhanek_Lyle_Dec_2015\U1456C-1H-1\Run 1 at  10kV\U1456C-1H-1 1240.0mm  15s  10kV 800uA No-Filter   0.0mm Run1 Rep0.wax,U1456,C,1,H,1,124,1.24,1.24,0,0,1240,15,19,12/8/2015 13:15,,1240,,1928,65022,-5784,-3159,93269,-50204,9065,1404096,6022,-410,376,190113,97950,-1851
C:\_XRF Data\__Kulhanek_Lyle_Dec_2015\U1456C-1H-1\Run 1 at  10kV\U1456C-1H-1 1260.0mm  15s  10kV 800uA No-Filter   0.0mm Run1 Rep0.wax,U1456,C,1,H,1,126,1.26,1.26,0,0,1260,15,19,12/8/2015 13:16,,1260,,3457,80233,-4926,-2738,94401,-37134,18975,1206617,9459,167,632,221520,76833,-2018
C:\_XRF Data\__Kulhanek_Lyle_Dec_2015\U1456C-1H-1\Run 1 at  10kV\U1456C-1H-1 1280.0mm  15s  10kV 800uA No-Filter   0.0mm Run1 Rep0.wax,U1456,C,1,H,1,128,1.28,1.28,0,0,1280,15,18,12/8/2015 13:16,,1280,,4556,89974,-4176,-1727,115494,-2281,34479,1009196,13049,819,449,266675,36622,-3125
C:\_XRF Data\__Kulhanek_Lyle_Dec_2015\U1456C-1H-1\Run 1 at  10kV\U1456C-1H-1 1300.0mm  15s  10kV 800uA No-Filter   0.0mm Run1 Rep0.wax,U1456,C,1,H,1,130,1.3,1.3,0,0,1300,15,18,12/8/2015 13:17,,1300,,3268,69203,-4488,-1872,112721,-30021,18955,1099760,10888,48,511,210516,66525,-1929
C:\_XRF Data\__Kulhanek_Lyle_Dec_2015\U1456C-1H-1\Run 1 at  10kV\U1456C-1H-1 1320.0mm  15s  10kV 800uA No-Filter   0.0mm Run1 Rep0.wax,U1456,C,1,H,1,132,1.32,1.32,0,0,1320,15,18,12/8/2015 13:17,,1320,,2704,67799,-4715,-1046,135600,-13618,23158,1020873,10122,347,167,227575,47850,-2144
C:\_XRF Data\__Kulhanek_Lyle_Dec_2015\U1456C-1H-1\Run 1 at  10kV\U1456C-1H-1 1340.0mm  15s  10kV 800uA No-Filter   0.0mm Run1 Rep0.wax,U1456,C,1,H,1,134,1.34,1.34,0,0,1340,15,18,12/8/2015 13:18,,1340,,3220,70413,-3986,-1571,115587,-27249,20004,1021803,10675,933,351,223566,66879,-2383
C:\_XRF Data\__Kulhanek_Lyle_Dec_2015\U1456C-1H-1\Run 1 at  10kV\U1456C-1H-1 1360.0mm  15s  10kV 800uA No-Filter   0.0mm Run1 Rep0.wax,U1456,C,1,H,1,136,1.36,1.36,0,0,1360,15,19,12/8/2015 13:18,,1360,,791,46191,-5954,-2665,105543,-60322,-272,1432941,4518,-358,440,187100,105058,-1360
C:\_XRF Data\__Kulhanek_Lyle_Dec_2015\U1456C-1H-1\Run 1 at  10kV\U1456C-1H-1 1380.0mm  15s  10kV 800uA No-Filter   0.0mm Run1 Rep0.wax,U1456,C,1,H,1,138,1.38,1.38,0,0,1380,15,19,12/8/2015 13:19,,1380,,951,47024,-6641,-2186,123449,-22794,7563,1361219,6025,-415,250,161098,73805,-1642
C:\_XRF Data\__Kulhanek_Lyle_Dec_2015\U1456C-1H-1\Run 1 at  10kV\U1456C-1H-1 1400.0mm  15s  10kV 800uA No-Filter   0.0mm Run1 Rep0.wax,U1456,C,1,H,1,140,1.4,1.4,0,0,1400,15,18,12/8/2015 13:19,,1400,,2371,57057,-5052,-1167,123220,-34889,14419,1025764,9503,254,600,205675,72459,-1939
C:\_XRF Data\__Kulhanek_Lyle_Dec_2015\U1456C-1H-1\Run 1 at  10kV\U1456C-1H-1 1420.0mm  15s  10kV 800uA No-Filter   0.0mm Run1 Rep0.wax,U1456,C,1,H,1,142,1.42,1.42,0,0,1420,15,19,12/8/2015 13:20,,1420,,1581,56236,-5401,-1575,107194,-40633,8693,1285756,6603,-371,225,172709,82997,-1443
C:\_XRF Data\__Kulhanek_Lyle_Dec_2015\U1456C-1H-1\Run 1 at  10kV\U1456C-1H-1 1440.0mm  15s  10kV 800uA No-Filter   0.0mm Run1 Rep0.wax,U1456,C,1,H,1,144,1.44,1.44,0,0,1440,15,18,12/8/2015 13:20,,1440,,847,37461,-5778,-713,143441,-34889,5982,1098070,6371,143,665,168161,76316,-1991
