Site,Hole,Core,Type,Section,Interval,Depth (CSF-A),Depth (CCSF),Al,Ba,Br,Ca,Cl,Fe,K,Mg,Mn,Si,Sr,Ti,Zr,Cu,Nb,Ni,Rb,Y,Zn
U1456,C,1,H,5,108,7.08,7.08,39300,177,58,153271,17504,31374,12799,17096,481,93996,2350,193,29,13,77,13,61,8447,3804
U1456,C,3,H,1,76,9.56,10.54,17805,118,62,249188,17436,17030,7069,9151,410,45271,4285,1662,57,31,3,37,39,9,38
U1456,C,3,H,1,92,9.72,10.7,12890,83,64,274294,18312,15205,5565,7192,352,33554,4847,1416,57,28,2,37,33,8,31
U1456,C,3,H,2,86,11.16,12.14,20991,152,82,226437,20716,22848,9015,11616,324,57851,4095,108,29,7,49,21,42,7757,1919
U1456,C,3,H,2,145,11.75,12.73,37141,296,68,160712,13944,29395,12213,18448,497,99215,998,195,38,14,67,19,66,8766,3272
U1456,C,3,H,3,51,12.31,13.29,27825,106,26,147653,10314,16470,7012,10874,327,97776,2128,2575,151,9,7,28,39,20,26
U1456,C,3,H,3,86,12.66,13.64,15404,82,64,270625,18731,18654,6938,7330,303,39902,5993,58,28,3,44,24,35,7358,1730
U1456,C,3,H,4,26,13.56,14.54,8680,73,73,334038,19809,13862,4561,4197,198,26044,7595,1334,60,21,<NWG,29,33,5,29
U1456,C,3,H,4,143,14.73,15.71,50327,192,51,130690,12150,38527,15954,20926,520,120627,1311,4010,115,37,21,52,96,25,71
U1456,C,3,H,5,34,15.14,16.12,45438,143,42,135599,9435,33138,13489,17152,535,116873,2027,4221,114,30,18,43,80,24,61
U1456,C,3,H,5,144,16.24,17.22,58191,177,55,107000,11698,45829,17469,22785,719,136007,1396,4981,127,39,26,51,109,31,77
U1456,C,4,H,1,130,19.6,21.07,50212,123,65,131905,17240,42443,15267,21517,649,107519,2301,4336,115,34,22,48,93,25,65
U1456,C,4,H,2,125,21.05,22.52,47144,125,54,136310,13953,39569,14687,20108,646,104146,2424,4114,108,37,15,45,90,25,64
U1456,C,4,H,2,140,21.2,22.67,41056,122,25,110261,8401,27805,10426,13730,458,119562,1401,4445,130,19,15,31,65,21,44
U1456,C,4,H,3,19,21.49,22.96,40863,129,24,102371,9826,29982,9717,14301,506,128734,1159,163,22,21,54,40,42,9136,5601
U1456,C,4,H,3,115,22.45,23.92,38242,148,50,146282,11559,28445,11256,13653,449,109770,2590,142,29,11,66,23,51,8464,3511
U1456,C,4,H,4,53,23.33,24.8,44716,185,26,95557,8982,31873,10714,14914,527,138491,1057,198,24,22,63,32,47,9147,6059
